2026-01-15 09:53:09,663 | INFO | root | Added 677 records from this chunk.
2026-01-15 09:53:12,550 | INFO | root | Added 16 records from this chunk.
2026-01-15 09:54:15,524 | INFO | uvicorn.access | 127.0.0.1:57204 - "POST /predict-step HTTP/1.1" 200
2026-01-15 09:54:18,811 | INFO | root | Added 1127 records from this chunk.
2026-01-15 09:54:25,148 | INFO | root | Added 1235 records from this chunk.
2026-01-15 09:54:30,325 | INFO | root | Added 1016 records from this chunk.
2026-01-15 09:54:34,665 | INFO | root | Added 677 records from this chunk.
2026-01-15 09:54:37,563 | INFO | root | Added 16 records from this chunk.
2026-01-15 09:56:44,903 | INFO | uvicorn.access | 127.0.0.1:45588 - "POST /predict-step HTTP/1.1" 200
2026-01-15 09:56:48,122 | INFO | root | Added 1127 records from this chunk.
2026-01-15 09:56:53,618 | INFO | root | Added 1235 records from this chunk.
2026-01-15 09:56:59,219 | INFO | root | Added 1016 records from this chunk.
2026-01-15 09:57:04,957 | INFO | root | Added 677 records from this chunk.
2026-01-15 09:57:08,139 | INFO | root | Added 16 records from this chunk.
2026-01-15 09:57:22,655 | INFO | uvicorn.error | Shutting down
2026-01-15 09:57:22,756 | INFO | uvicorn.error | Waiting for application shutdown.
2026-01-15 09:57:22,757 | INFO | uvicorn.error | Application shutdown complete.
2026-01-15 09:57:22,757 | INFO | uvicorn.error | Finished server process [7192]
2026-01-15 09:57:31,608 | INFO | uvicorn.error | Will watch for changes in these directories: ['/home/antoniohazman8855/Ecommerce-Project/Machine Learning Development']
2026-01-15 09:57:31,608 | INFO | uvicorn.error | Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-01-15 09:57:31,608 | INFO | uvicorn.error | Started reloader process [8119] using StatReload
2026-01-15 09:57:32,566 | INFO | prediction_master | APPLICATION STARTED
2026-01-15 09:57:39,248 | INFO | uvicorn.error | Started server process [8122]
2026-01-15 09:57:39,249 | INFO | uvicorn.error | Waiting for application startup.
2026-01-15 09:57:39,249 | INFO | uvicorn.error | Application startup complete.
2026-01-15 09:58:33,844 | INFO | uvicorn.access | 127.0.0.1:51742 - "GET / HTTP/1.1" 404
2026-01-15 09:58:40,421 | INFO | uvicorn.access | 127.0.0.1:51756 - "POST /predict-step HTTP/1.1" 200
2026-01-15 09:58:43,708 | INFO | root | Added 1127 records from this chunk.
2026-01-15 09:58:50,531 | INFO | root | Added 1235 records from this chunk.
2026-01-15 09:58:56,068 | INFO | root | Added 1016 records from this chunk.
2026-01-15 09:59:00,725 | INFO | root | Added 677 records from this chunk.
2026-01-15 09:59:03,663 | INFO | root | Added 16 records from this chunk.
2026-01-15 09:59:18,449 | INFO | uvicorn.error | Shutting down
2026-01-15 09:59:18,551 | INFO | uvicorn.error | Waiting for background tasks to complete. (CTRL+C to force quit)
2026-01-15 09:59:20,485 | INFO | uvicorn.error | Finished server process [8122]
2026-01-15 09:59:20,554 | INFO | uvicorn.error | Stopping reloader process [8119]
